|name         |surname   |date_of_birth|
|Egisto       |Amato     |1990-06-07   |
|Claudia      |Lombardi  |1990-06-02   |
|Kociss       |De Angelis|1990-06-01   |
|Erminia      |Sala      |1990-06-01   |
|Morgana      |Esposito  |1990-05-30   |
|Shaira       |Grassi    |1990-05-30   |
|Clea         |Bellini   |1990-05-30   |
|Primo        |D'angelo  |1990-05-25   |
|Rudy         |Caruso    |1990-05-24   |
|Rodolfo      |Rossetti  |1990-05-21   |
|Fortunata    |Pellegrino|1990-05-19   |
|Amos         |Barone    |1990-05-14   |
|Pietro       |Ruggiero  |1990-05-11   |
|Davis        |Ferrara   |1990-05-09   |
|Iacopo       |Lombardo  |1990-05-09   |
|Samira       |Rizzo     |1990-05-07   |
|Danthon      |Longo     |1990-05-03   |
|Tancredi     |Guerra    |1990-05-02   |
|Fortunata    |Bianchi   |1990-05-02   |
|Deborah      |Fontana   |1990-04-30   |
|Elda         |Mariani   |1990-04-29   |
|Maika        |Barbieri  |1990-04-29   |
|Iacopo       |Vitale    |1990-04-29   |
|Lauro        |Galli     |1990-04-29   |
|Cassiopea    |Ferraro   |1990-04-28   |
|Cira         |De rosa   |1990-04-26   |
|Selvaggia    |Ferri     |1990-04-26   |
|Pablo        |Giuliani  |1990-04-26   |
|Rita         |Ricci     |1990-04-26   |
|Vera         |Rinaldi   |1990-04-26   |
|Guendalina   |Palmieri  |1990-04-24   |
|Donatella    |Martini   |1990-04-22   |
|Amedeo       |Valentini |1990-04-20   |
|Giacinta     |Galli     |1990-04-17   |
|Cira         |Costantini|1990-04-12   |
|Danuta       |Greco     |1990-04-06   |
|Ortensia     |Sartori   |1990-04-05   |
|Mauro        |Basile    |1990-04-05   |
|Dindo        |Montanari |1990-04-04   |
|Ivano        |Farina    |1990-04-01   |
|Tolomeo      |Morelli   |1990-03-30   |
|Germano      |Pagano    |1990-03-27   |
|Harry        |Russo     |1990-03-23   |
|Ileana       |Ricci     |1990-03-17   |
|Bibiana      |Galli     |1990-03-14   |
|Giancarlo    |Serra     |1990-03-14   |
|Prisca       |De luca   |1990-03-12   |
|Pietro       |Negri     |1990-03-12   |
|Giuliano     |Marini    |1990-03-10   |
|Violante     |Ferrara   |1990-03-10   |
|Samira       |Giuliani  |1990-03-08   |
|Caligola     |Guerra    |1990-03-07   |
|Danny        |Bianco    |1990-03-05   |
|Rufo         |Greco     |1990-03-03   |
|Silverio     |Palumbo   |1990-03-02   |
|Silverio     |Messina   |1990-02-27   |
|Boris        |Martinelli|1990-02-25   |
|Ausonio      |Sala      |1990-02-23   |
|Grazia       |Villa     |1990-02-21   |
|Mirko        |Coppola   |1990-02-10   |
|Flaviana     |Costa     |1990-02-06   |
|Nazzareno    |Fabbri    |1990-02-06   |
|Giulietta    |Milani    |1990-02-04   |
|Graziano     |Riva      |1990-01-31   |
|Gaetano      |Barone    |1990-01-31   |
|Lauro        |Vitale    |1990-01-30   |
|Bacchisio    |Morelli   |1990-01-30   |
|Carlo        |Monti     |1990-01-29   |
|Olimpia      |Piras     |1990-01-28   |
|Isira        |Russo     |1990-01-27   |
|Laura        |Cattaneo  |1990-01-26   |
|Cleopatra    |Parisi    |1990-01-14   |
|Damiana      |Farina    |1990-01-12   |
|Violante     |Santoro   |1990-01-10   |
|Leone        |Marini    |1990-01-09   |
|Cosetta      |Martino   |1990-01-06   |
|Maika        |Bianco    |1990-01-04   |
|Terzo        |Martino   |1990-01-04   |
|Folco        |Sala      |1990-01-03   |
|Gilda        |Bianchi   |1989-12-29   |
|Folco        |Guerra    |1989-12-29   |
|Zelida       |Conte     |1989-12-25   |
|Guido        |Ferrara   |1989-12-25   |
|Mirco        |Fiore     |1989-12-20   |
|Ivano        |Ricci     |1989-12-17   |
|Ludovico     |Mancini   |1989-12-16   |
|Luigi        |Martinelli|1989-12-11   |
|Kris         |De luca   |1989-12-08   |
|Giacinta     |Carbone   |1989-12-01   |
|Oreste       |Moretti   |1989-11-28   |
|Maristella   |Santoro   |1989-11-22   |
|Ivonne       |Gatti     |1989-11-16   |
|Tommaso      |Battaglia |1989-11-14   |
|Sabino       |Rossetti  |1989-11-06   |
|Cira         |Colombo   |1989-11-05   |
|Grazia       |Coppola   |1989-11-01   |
|Gianleonardo |Caputo    |1989-11-01   |
|Kristel      |Coppola   |1989-10-31   |
|Eustachio    |Valentini |1989-10-31   |
|Maruska      |Palumbo   |1989-10-29   |
|Maggiore     |Costa     |1989-10-21   |
|Boris        |Pellegrini|1989-10-21   |
|Antonino     |Benedetti |1989-10-19   |
|Irene        |Coppola   |1989-10-19   |
|Soriana      |Bianco    |1989-10-19   |
|Enrica       |Sala      |1989-10-15   |
|Albino       |Messina   |1989-10-15   |
|Deborah      |Sartori   |1989-10-10   |
|Diana        |Giordano  |1989-10-10   |
|Lisa         |Conte     |1989-10-09   |
|Rocco        |Coppola   |1989-10-03   |
|Maruska      |Leone     |1989-10-02   |
|Mercedes     |Bianco    |1989-09-29   |
|Filomena     |Pagano    |1989-09-25   |
|Gioacchino   |Pellegrino|1989-09-23   |
|Eufemia      |Russo     |1989-09-21   |
|Maruska      |Parisi    |1989-09-18   |
|Maruska      |Bernardi  |1989-09-17   |
|Giobbe       |Giuliani  |1989-09-16   |
|Genziana     |Negri     |1989-09-15   |
|Claudia      |Carbone   |1989-09-14   |
|Graziano     |Fabbri    |1989-09-12   |
|Orfeo        |Sartori   |1989-09-10   |
|Mirko        |Pagano    |1989-09-08   |
|Zelida       |Palumbo   |1989-09-07   |
|Gianriccardo |Neri      |1989-09-06   |
|Bettino      |Lombardo  |1989-09-05   |
|Priamo       |Vitale    |1989-09-05   |
|Doriana      |Rinaldi   |1989-09-01   |
|Xavier       |Martini   |1989-08-27   |
|Costantino   |Moretti   |1989-08-26   |
|Sibilla      |Grassi    |1989-08-25   |
|Matteo       |Conti     |1989-08-19   |
|Ivano        |Colombo   |1989-08-17   |
|Mirco        |Vitale    |1989-08-15   |
|Sesto        |Farina    |1989-08-10   |
|Fiorenzo     |Morelli   |1989-08-10   |
|Evangelista  |Lombardi  |1989-08-10   |
|Ulrico       |Lombardi  |1989-08-06   |
|Raniero      |Fiore     |1989-08-05   |
|Donatella    |Pellegrini|1989-08-04   |
|Moreno       |Marini    |1989-08-03   |
|Karim        |Basile    |1989-08-02   |
|Jacopo       |Vitale    |1989-07-24   |
|Nunzia       |Mazza     |1989-07-17   |
|Giacinta     |Bianchi   |1989-07-17   |
|Ileana       |Pellegrino|1989-07-14   |
|Gianmaria    |Marchetti |1989-07-13   |
|Costanzo     |Longo     |1989-07-05   |
|Nathan       |Rizzo     |1989-07-04   |
|Romeo        |Mariani   |1989-07-03   |
|Ilario       |Gentile   |1989-07-02   |
|Michele      |Grassi    |1989-06-25   |
|Patrizio     |Lombardo  |1989-06-25   |
|Eufemia      |Fiore     |1989-06-21   |
|Umberto      |Neri      |1989-06-16   |
|Walter       |Marino    |1989-06-16   |
|Aaron        |Lombardo  |1989-06-14   |
|Mietta       |Negri     |1989-06-13   |
|Elda         |Bruno     |1989-06-12   |
|Omar         |Marchetti |1989-06-12   |
|Artes        |Gentile   |1989-06-10   |
|Cesidia      |Guerra    |1989-06-08   |
|Eusebio      |Ferri     |1989-06-07   |
|Osvaldo      |Sorrentino|1989-06-06   |
|Ubaldo       |Sorrentino|1989-06-05   |
|Filomena     |Coppola   |1989-06-03   |
|Pericle      |Gatti     |1989-05-27   |
|Yago         |Mazza     |1989-05-24   |
|Gilda        |Serra     |1989-05-23   |
|Nazzareno    |Marino    |1989-05-23   |
|Kristel      |Cattaneo  |1989-05-22   |
|Mirko        |Farina    |1989-05-21   |
|Enzo         |Conti     |1989-05-20   |
|Cira         |Riva      |1989-05-18   |
|Antimo       |Valentini |1989-05-16   |
|Luce         |De rosa   |1989-05-08   |
|Deborah      |Greco     |1989-05-07   |
|Sasha        |Pellegrini|1989-05-05   |
|Nazzareno    |Giordano  |1989-05-05   |
|Giancarlo    |Basile    |1989-05-05   |
|Loredana     |Ferretti  |1989-05-04   |
|Diana        |De Santis |1989-05-04   |
|Donatella    |Silvestri |1989-04-30   |
|Primo        |Benedetti |1989-04-26   |
|Lucia        |Costa     |1989-04-22   |
|Lorenzo      |De luca   |1989-04-20   |
|Naomi        |Guerra    |1989-04-20   |
|Tancredi     |Mazza     |1989-04-16   |
|Terzo        |Valentini |1989-04-13   |
|Fiorentino   |Orlando   |1989-04-11   |
|Damiana      |Marchetti |1989-04-08   |
|Lazzaro      |Ricci     |1989-04-07   |
|Tancredi     |Longo     |1989-04-03   |
|Egisto       |Pellegrini|1989-04-01   |
|Irene        |Farina    |1989-03-31   |
|Mariagiulia  |Moretti   |1989-03-30   |
|Karim        |De rosa   |1989-03-30   |
|Laura        |Coppola   |1989-03-29   |
|Gabriele     |Marino    |1989-03-27   |
|Laerte       |Palmieri  |1989-03-24   |
|Bernardo     |Conte     |1989-03-21   |
|Enrico       |Mariani   |1989-03-15   |
|Sirio        |Marini    |1989-03-14   |
|Antonino     |De rosa   |1989-03-13   |
|Clodovea     |Ferrari   |1989-03-12   |
|Mariagiulia  |Ricci     |1989-03-11   |
|Donatella    |Gatti     |1989-03-09   |
|Marina       |Costa     |1989-03-07   |
|Luigi        |D'amico   |1989-03-06   |
|Dante        |Bruno     |1989-03-02   |
|Caio         |Fabbri    |1989-03-02   |
|Danuta       |Montanari |1989-02-27   |
|Sandro       |Lombardi  |1989-02-26   |
|Kai          |Messina   |1989-02-26   |
|Ileana       |Marino    |1989-02-24   |
|Modesto      |Monti     |1989-02-24   |
|Bettino      |Rossetti  |1989-02-21   |
|Cleopatra    |Sartori   |1989-02-13   |
|Priamo       |Russo     |1989-02-10   |
|Odino        |Mariani   |1989-02-10   |
|Lidia        |Gatti     |1989-02-09   |
|Anastasio    |Rizzo     |1989-02-09   |
|Albino       |Milani    |1989-02-07   |
|Marcella     |Conte     |1989-02-04   |
|Lia          |Rizzi     |1989-02-04   |
|Vania        |Pellegrino|1989-02-03   |
|Antonino     |Bernardi  |1989-02-02   |
|Maruska      |Riva      |1989-01-30   |
|Sebastian    |Parisi    |1989-01-30   |
|Sabatino     |Guerra    |1989-01-28   |
|Hector       |Marino    |1989-01-22   |
|Kayla        |Neri      |1989-01-17   |
|Laura        |De Angelis|1989-01-13   |
|Graziano     |Rizzo     |1989-01-11   |
|Lidia        |Barone    |1989-01-05   |
|Lia          |Orlando   |1988-12-30   |
|Fortunata    |Piras     |1988-12-28   |
|Carlo        |Greco     |1988-12-27   |
|Piererminio  |Caputo    |1988-12-24   |
|Marianita    |De rosa   |1988-12-17   |
|Nayade       |Longo     |1988-12-14   |
|Battista     |De Angelis|1988-12-12   |
|Marino       |Ferrari   |1988-12-12   |
|Augusto      |Conte     |1988-12-11   |
|Ruth         |Messina   |1988-12-10   |
|Neri         |Conte     |1988-12-07   |
|Ferdinando   |De rosa   |1988-12-07   |
|Miriam       |Parisi    |1988-12-05   |
|Harry        |Grassi    |1988-12-03   |
|Aroldo       |Esposito  |1988-11-29   |
|Gelsomina    |Mariani   |1988-11-28   |
|Nico         |Esposito  |1988-11-28   |
|Piccarda     |Serra     |1988-11-21   |
|Tristano     |Lombardo  |1988-11-17   |
|Augusto      |D'angelo  |1988-11-17   |
|Demi         |Costantini|1988-11-15   |
|Domiziano    |Milani    |1988-11-15   |
|Luce         |De Santis |1988-11-13   |
|Lino         |Giordano  |1988-11-10   |
|Cassiopea    |Milani    |1988-11-09   |
|Priamo       |Sanna     |1988-11-09   |
|Lucia        |Fabbri    |1988-11-08   |
|Lucrezia     |Neri      |1988-11-07   |
|Rosita       |Caruso    |1988-11-06   |
|Fortunata    |Giuliani  |1988-11-04   |
|Cecco        |Rizzo     |1988-11-04   |
|Ileana       |Mariani   |1988-11-01   |
|Tommaso      |Martini   |1988-11-01   |
|Fulvio       |Ferrari   |1988-10-29   |
|Emilia       |Ferrara   |1988-10-28   |
|Flaviana     |Marini    |1988-10-26   |
|Siro         |Gentile   |1988-10-20   |
|Ivonne       |Ferrara   |1988-10-20   |
|Sue ellen    |Grassi    |1988-10-13   |
|Gilda        |Donati    |1988-10-12   |
|Egidio       |Gentile   |1988-10-09   |
|Zelida       |Guerra    |1988-10-06   |
|Cira         |Mazza     |1988-10-06   |
|Furio        |Negri     |1988-10-04   |
|Ruth         |Leone     |1988-09-27   |
|Sebastian    |Ricci     |1988-09-25   |
|Abramo       |Ferrara   |1988-09-23   |
|Luce         |Martini   |1988-09-18   |
|Emilia       |D'angelo  |1988-09-16   |
|Tolomeo      |Russo     |1988-09-13   |
|Marina       |Fabbri    |1988-09-06   |
|Bortolo      |Barbieri  |1988-09-05   |
|Lazzaro      |Lombardo  |1988-09-02   |
|Deborah      |Gallo     |1988-08-31   |
|Lia          |Vitali    |1988-08-30   |
|Tancredi     |Serra     |1988-08-26   |
|Dylan        |Grassi    |1988-08-22   |
|Lorenzo      |Giordano  |1988-08-15   |
|Ethan        |Lombardo  |1988-08-12   |
|Carmela      |Pellegrino|1988-08-11   |
|Neri         |Ferri     |1988-08-09   |
|Cesidia      |Neri      |1988-08-09   |
|Giuliano     |Marino    |1988-08-09   |
|Edilio       |Greco     |1988-08-07   |
|Jacopo       |Caruso    |1988-08-03   |
|Sasha        |De Angelis|1988-07-29   |
|Tolomeo      |Guerra    |1988-07-27   |
|Teseo        |Gatti     |1988-07-26   |
|Tommaso      |Mancini   |1988-07-26   |
|Marianita    |Marini    |1988-07-19   |
|Tolomeo      |Palumbo   |1988-07-16   |
|Renato       |Leone     |1988-07-16   |
|Amos         |Lombardi  |1988-07-11   |
|Ileana       |Rossetti  |1988-07-06   |
|Demis        |Bianco    |1988-07-06   |
|Oretta       |Caputo    |1988-07-05   |
|Arduino      |Parisi    |1988-07-03   |
|Arduino      |Martini   |1988-07-01   |
|Morgana      |Donati    |1988-06-28   |
|Miriana      |Ferraro   |1988-06-25   |
|Antimo       |Carbone   |1988-06-25   |
|Gavino       |Guerra    |1988-06-24   |
|Assia        |Lombardo  |1988-06-21   |
|Tazio        |Leone     |1988-06-19   |
|Alberto      |Bellini   |1988-06-15   |
|Pietro       |Guerra    |1988-06-13   |
|Ortensia     |Martinelli|1988-06-08   |
|Tosca        |Sanna     |1988-06-07   |
|Nadir        |Bianchi   |1988-06-05   |
|Matilde      |Cattaneo  |1988-05-31   |
|Ortensia     |Romano    |1988-05-30   |
|Sibilla      |Moretti   |1988-05-30   |
|Donatella    |Ferrari   |1988-05-29   |
|Doriana      |Gallo     |1988-05-23   |
|Evita        |Greco     |1988-05-22   |
|Rufo         |Marini    |1988-05-19   |
|Eufemia      |Rizzi     |1988-05-18   |
|Fatima       |Villa     |1988-05-16   |
|Marzio       |Gentile   |1988-05-12   |
|Damiano      |Mazza     |1988-05-08   |
|Timoteo      |Benedetti |1988-05-08   |
|Clodovea     |Rinaldi   |1988-05-04   |
|Siro         |Serra     |1988-05-01   |
|Furio        |Pellegrini|1988-05-01   |
|Lino         |Gentile   |1988-04-29   |
|Antonio      |Montanari |1988-04-25   |
|Ivonne       |Caputo    |1988-04-22   |
|Thea         |Ferretti  |1988-04-17   |
|Guido        |Mancini   |1988-04-16   |
|Radames      |Ferrari   |1988-04-10   |
|Aroldo       |Santoro   |1988-04-09   |
|Fiorentino   |Costa     |1988-04-03   |
|Arduino      |Milani    |1988-04-03   |
|Guido        |Pellegrino|1988-04-02   |
|Akira        |Cattaneo  |1988-03-29   |
|Antonio      |Leone     |1988-03-29   |
|Tosca        |Marchetti |1988-03-27   |
|Gianmarco    |Fiore     |1988-03-27   |
|Benedetta    |Sorrentino|1988-03-24   |
|Emanuel      |Rinaldi   |1988-03-23   |
|Walter       |Galli     |1988-03-23   |
|Demian       |Sorrentino|1988-03-21   |
|Max          |Ricci     |1988-03-18   |
|Violante     |Pellegrini|1988-03-15   |
|Alighiero    |Giuliani  |1988-03-04   |
|Isira        |Benedetti |1988-02-29   |
|Enrico       |Coppola   |1988-02-25   |
|Rocco        |Bernardi  |1988-02-21   |
|Kayla        |Testa     |1988-02-21   |
|Ettore       |Grassi    |1988-02-18   |
|Ileana       |D'amico   |1988-02-16   |
|Sarita       |Marini    |1988-02-16   |
|Marco        |Gatti     |1988-02-16   |
|Luna         |Silvestri |1988-02-14   |
|Flaviana     |Gentile   |1988-02-12   |
|Lia          |Esposito  |1988-02-11   |
|Diana        |Gallo     |1988-02-08   |
|Giovanna     |De luca   |1988-02-07   |
|Bortolo      |Guerra    |1988-02-04   |
|Enzo         |Ricci     |1988-01-29   |
|Laura        |Gatti     |1988-01-28   |
|Emilia       |Leone     |1988-01-27   |
|Erminio      |Damico    |1988-01-26   |
|Abramo       |Caputo    |1988-01-20   |
|Domingo      |Donati    |1988-01-19   |
|Renato       |Bianco    |1988-01-12   |
|Giorgio      |Serra     |1988-01-11   |
|Maggiore     |Galli     |1988-01-11   |
|Giobbe       |Santoro   |1988-01-09   |
|Loris        |Parisi    |1988-01-09   |
|Radames      |Martino   |1988-01-08   |
|Mirco        |Pellegrini|1988-01-07   |
|Gelsomina    |Parisi    |1988-01-07   |
|Sibilla      |Longo     |1988-01-07   |
|Rocco        |Coppola   |1988-01-07   |
|Felicia      |Guerra    |1988-01-06   |
|Fulvio       |Morelli   |1988-01-05   |
|Joseph       |Grassi    |1988-01-05   |
|Aaron        |Vitale    |1987-12-31   |
|Lucia        |Valentini |1987-12-27   |
|Giulietta    |Serra     |1987-12-21   |
|Radames      |Fontana   |1987-12-21   |
|Leone        |Ferraro   |1987-12-21   |
|Muzio        |Silvestri |1987-12-18   |
|Ione         |Coppola   |1987-12-15   |
|Ione         |Ferrara   |1987-12-15   |
|Rosolino     |Giordano  |1987-12-08   |
|Nick         |Bellini   |1987-12-08   |
|Joey         |Gallo     |1987-12-04   |
|Celeste      |Bernardi  |1987-12-01   |
|Claudia      |Lombardo  |1987-12-01   |
|Mirko        |Martinelli|1987-11-30   |
|Abramo       |Barbieri  |1987-11-29   |
|Quasimodo    |Silvestri |1987-11-23   |
|Joannes      |Caputo    |1987-11-20   |
|Marieva      |Silvestri |1987-11-18   |
|Emilia       |Colombo   |1987-11-12   |
|Sasha        |Fiore     |1987-11-09   |
|Prisca       |Pellegrino|1987-11-06   |
|Giancarlo    |D'amico   |1987-11-04   |
|Demi         |Marini    |1987-11-03   |
|Penelope     |Sala      |1987-11-01   |
|Domingo      |Amato     |1987-11-01   |
|Emidio       |Ferri     |1987-10-29   |
|Edipo        |Coppola   |1987-10-25   |
|Lidia        |Ferri     |1987-10-24   |
|Danuta       |Grassi    |1987-10-21   |
|Ninfa        |Milani    |1987-10-21   |
|Ortensia     |Pagano    |1987-10-17   |
|Morgana      |Pellegrini|1987-10-17   |
|Priamo       |Bianco    |1987-10-17   |
|Matilde      |Giuliani  |1987-10-13   |
|Diamante     |Pellegrino|1987-10-07   |
|Harry        |Benedetti |1987-10-04   |
|Miriam       |Marchetti |1987-10-03   |
|Amos         |Donati    |1987-10-03   |
|Olo          |Serra     |1987-10-01   |
|Naomi        |Palumbo   |1987-09-28   |
|Claudia      |Galli     |1987-09-25   |
|Giordano     |Lombardi  |1987-09-25   |
|Noemi        |Ruggiero  |1987-09-23   |
|Diamante     |Mancini   |1987-09-20   |
|Cirino       |Ferraro   |1987-09-04   |
|Loretta      |Neri      |1987-09-04   |
|Alan         |Fiore     |1987-09-03   |
|Lamberto     |Rizzo     |1987-09-02   |
|Mattia       |Basile    |1987-08-29   |
|Sasha        |Sala      |1987-08-28   |
|Prisca       |Marino    |1987-08-23   |
|Antimo       |Gatti     |1987-08-22   |
|Monia        |Valentini |1987-08-21   |
|Pablo        |Battaglia |1987-08-20   |
|Iacopo       |Amato     |1987-08-19   |
|Enrica       |Amato     |1987-08-18   |
|Sibilla      |Rossetti  |1987-08-18   |
|Loredana     |Donati    |1987-08-11   |
|Maristella   |Ferri     |1987-08-11   |
|Sasha        |Basile    |1987-08-10   |
|Arduino      |Caputo    |1987-08-08   |
|Elga         |Rizzi     |1987-08-07   |
|Lucrezia     |Vitali    |1987-08-05   |
|Davide       |Esposito  |1987-08-04   |
|Mauro        |Damico    |1987-08-01   |
|Joannes      |Silvestri |1987-07-27   |
|Laerte       |Grassi    |1987-07-23   |
|Prisca       |Colombo   |1987-07-18   |
|Gianleonardo |Conti     |1987-07-17   |
|Moreno       |Romano    |1987-07-15   |
|Miriam       |Pellegrino|1987-07-07   |
|Lucrezia     |Messina   |1987-07-06   |
|Adriano      |Longo     |1987-07-04   |
|Lidia        |Benedetti |1987-07-04   |
|Olo          |De Angelis|1987-07-03   |
|Ortensia     |Bernardi  |1987-07-02   |
|Gelsomina    |Colombo   |1987-06-26   |
|Giulietta    |Palumbo   |1987-06-16   |
|Maggiore     |Barone    |1987-06-15   |
|Morgana      |Fontana   |1987-06-13   |
|Thea         |Ferraro   |1987-06-04   |
|Lucrezia     |Mancini   |1987-06-01   |
|Ermes        |Colombo   |1987-05-31   |
|Morgana      |De Angelis|1987-05-30   |
|Miriana      |Monti     |1987-05-29   |
|Matilde      |Russo     |1987-05-27   |
|Cesidia      |Palmieri  |1987-05-25   |
|Loretta      |Carbone   |1987-05-23   |
|Albino       |Bernardi  |1987-05-23   |
|Augusto      |Fiore     |1987-05-22   |
|Giovanna     |Villa     |1987-05-21   |
|Serse        |Ferrara   |1987-05-19   |
|Jarno        |Pellegrino|1987-05-16   |
|Ettore       |Pellegrino|1987-05-15   |
|Lucia        |Caruso    |1987-05-15   |
|Omar         |Longo     |1987-05-11   |
|Mariano      |Gallo     |1987-05-08   |
|Nayade       |Ricci     |1987-04-25   |
|Battista     |Lombardi  |1987-04-23   |
|Selvaggia    |Caputo    |1987-04-16   |
|Oreste       |Galli     |1987-04-16   |
|Fiorentino   |Ferrari   |1987-04-15   |
|Cosetta      |Messina   |1987-04-15   |
|Fiorenzo     |Palmieri  |1987-04-15   |
|Aroldo       |Romano    |1987-04-15   |
|Davis        |Bianchi   |1987-04-09   |
|Rufo         |Morelli   |1987-04-07   |
|Manuele      |Serra     |1987-04-04   |
|Oreste       |Damico    |1987-03-30   |
|Loretta      |Morelli   |1987-03-25   |
|Samira       |Benedetti |1987-03-23   |
|Domingo      |Lombardi  |1987-03-20   |
|Demian       |Pellegrino|1987-03-20   |
|Omar         |Rizzi     |1987-03-13   |
|Matteo       |Bruno     |1987-03-08   |
|Akira        |Rossi     |1987-03-07   |
|Cira         |Milani    |1987-03-03   |
|Jack         |Fiore     |1987-03-02   |
|Vitalba      |Santoro   |1987-02-23   |
|Rosalino     |Grassi    |1987-02-23   |
|Giobbe       |De Angelis|1987-02-20   |
|Arcibaldo    |Bellini   |1987-02-16   |
|Nabil        |Milani    |1987-02-15   |
|Artes        |Sanna     |1987-02-13   |
|Giacinta     |Messina   |1987-02-12   |
|Lino         |Bruno     |1987-02-12   |
|Zaccaria     |Valentini |1987-02-12   |
|Rosaria      |Pagano    |1987-02-12   |
|Rosalino     |Costantini|1987-02-02   |
|Timothy      |Fontana   |1987-01-27   |
|Mariagiulia  |Costa     |1987-01-27   |
|Marina       |Neri      |1987-01-26   |
|Marvin       |Bianco    |1987-01-26   |
|Gregorio     |Rossi     |1987-01-23   |
|Brigitta     |Bellini   |1987-01-21   |
|Noemi        |Ricci     |1987-01-21   |
|Fulvio       |Bellini   |1987-01-21   |
|Violante     |Riva      |1987-01-20   |
|Sarita       |Colombo   |1987-01-18   |
|Mariagiulia  |Greco     |1987-01-15   |
|Orfeo        |Sartori   |1987-01-14   |
|Ariel        |Rossetti  |1987-01-09   |
|Antimo       |Negri     |1987-01-07   |
|Piccarda     |Ferraro   |1987-01-05   |
|Eriberto     |Donati    |1987-01-04   |
|Boris        |Russo     |1987-01-02   |
|Ursula       |Villa     |1987-01-02   |
|Nayade       |Palumbo   |1987-01-01   |
|Loredana     |Riva      |1986-12-31   |
|Enzo         |Rizzi     |1986-12-30   |
|Damiana      |Bianco    |1986-12-30   |
|Aroldo       |Galli     |1986-12-27   |
|Marianita    |Milani    |1986-12-27   |
|Genziana     |Ferretti  |1986-12-26   |
|Noel         |Valentini |1986-12-24   |
|Rosalba      |Russo     |1986-12-23   |
|Sabatino     |Bianco    |1986-12-22   |
|Patrizio     |Vitali    |1986-12-19   |
|Flavio       |Morelli   |1986-12-19   |
|Alessandro   |De Angelis|1986-12-16   |
|Noemi        |Parisi    |1986-12-08   |
|Patrizio     |Negri     |1986-12-05   |
|Sirio        |Valentini |1986-12-05   |
|Elda         |Monti     |1986-12-03   |
|Gastone      |Battaglia |1986-12-02   |
|Eufemia      |Bianchi   |1986-11-26   |
|Claudia      |Morelli   |1986-11-12   |
|Terzo        |Gentile   |1986-11-10   |
|Sebastian    |Martini   |1986-11-10   |
|Mercedes     |Rinaldi   |1986-11-10   |
|Gabriele     |Barbieri  |1986-11-08   |
|Ortensia     |Negri     |1986-11-06   |
|Naomi        |Vitali    |1986-11-02   |
|Maika        |Vitale    |1986-10-31   |
|Xavier       |Damico    |1986-10-29   |
|Lucrezia     |Giordano  |1986-10-27   |
|Arcibaldo    |Bellini   |1986-10-26   |
|Damiana      |Fabbri    |1986-10-18   |
|Piccarda     |D'angelo  |1986-10-18   |
|Guendalina   |Ferri     |1986-10-16   |
|Concetta     |Galli     |1986-10-16   |
|Mietta       |D'amico   |1986-10-07   |
|Rosalino     |Martinelli|1986-10-02   |
|Kris         |Costantini|1986-10-01   |
|Nayade       |Santoro   |1986-10-01   |
|Joseph       |Marini    |1986-10-01   |
|Luigi        |Rinaldi   |1986-09-30   |
|Elio         |Guerra    |1986-09-30   |
|Egisto       |Pagano    |1986-09-29   |
|Ruth         |Conte     |1986-09-27   |
|Pierfrancesco|De Angelis|1986-09-24   |
|Flaviana     |Ferrara   |1986-09-20   |
|Quirino      |De Santis |1986-09-19   |
|Naomi        |Costantini|1986-09-18   |
|Caio         |Mazza     |1986-09-15   |
|Demi         |D'amico   |1986-09-13   |
|Pacifico     |Sanna     |1986-09-12   |
|Luce         |Guerra    |1986-09-09   |
|Jarno        |Battaglia |1986-09-02   |
|Ilario       |Messina   |1986-09-02   |
|Alessandro   |Pellegrino|1986-08-29   |
|Donatella    |Ferretti  |1986-08-27   |
|Irene        |Conte     |1986-08-23   |
|Claudia      |Carbone   |1986-08-18   |
|Guendalina   |Damico    |1986-08-18   |
|Jarno        |Russo     |1986-08-15   |
|Marvin       |Vitale    |1986-08-15   |
|Tosca        |Santoro   |1986-08-14   |
|Ilario       |Costantini|1986-08-11   |
|Irene        |Ruggiero  |1986-08-11   |
|Jacopo       |Donati    |1986-08-08   |
|Elga         |Greco     |1986-08-06   |
|Giacinta     |Coppola   |1986-08-04   |
|Vinicio      |De rosa   |1986-08-03   |
|Fortunata    |Ferri     |1986-08-03   |
|Radames      |Cattaneo  |1986-08-02   |
|Gianriccardo |De Santis |1986-08-02   |
|Guido        |Giuliani  |1986-08-01   |
|Filomena     |Caruso    |1986-07-30   |
|Gianriccardo |Coppola   |1986-07-26   |
|Elga         |Testa     |1986-07-26   |
|Cassiopea    |Damico    |1986-07-24   |
|Samira       |Martinelli|1986-07-20   |
|Maika        |Longo     |1986-07-18   |
|Lucia        |Ferraro   |1986-07-14   |
|Gianmarco    |Martinelli|1986-07-10   |
|Sabatino     |Colombo   |1986-07-09   |
|Lidia        |Ferrara   |1986-07-09   |
|Quarto       |Gentile   |1986-07-07   |
|Piccarda     |De rosa   |1986-07-05   |
|Sandro       |Piras     |1986-07-04   |
|Grazia       |Fabbri    |1986-07-04   |
|Tazio        |Pellegrini|1986-07-01   |
|Ingrid       |Palumbo   |1986-06-28   |
|Sebastian    |Martini   |1986-06-26   |
|Prisca       |Ferrari   |1986-06-21   |
|Mauro        |Marini    |1986-06-21   |
|Laura        |Conti     |1986-06-20   |
